phrase_originale,nom1,nom2,determinant,nom1_lemme,nom2_lemme,definitude,type_jdm,est_valide,notes
les retards de la pluie,les retards,la pluie,de,les retard,la pluie,False,r_has_causatif,True,
les retards des travaux,retards,travaux,de,retard,traval,False,r_has_causatif,True,
les embouteillages des travaux,embouteillages,travaux,de,embouteillage,traval,False,r_has_causatif,True,
les embouteillages d'un accident,embouteillages,un accident,d',embouteillage,un accident,False,r_has_causatif,True,
les pannes de la chaleur,les pannes,la chaleur,de,les panne,la chaleur,False,r_has_causatif,True,
les pannes de la tempête,les pannes,la tempête,de,les panne,la tempête,False,r_has_causatif,True,
les annulations de la grève,les annulations,la grève,de,les annulation,la grève,False,r_has_causatif,True,
les pénuries de la sécheresse,les pénuries,la sécheresse,de,les pénurie,la sécheresse,False,r_has_causatif,True,
la hausse des prix de la demande,la hausse des prix,la demande,de,la hausse des pri,la demande,False,r_has_causatif,True,
la baisse des ventes de la crise,la baisse des ventes,la crise,de,la baisse des vente,la crise,False,r_has_causatif,True,
les coupures d'un orage,coupures,un orage,d',coupure,un orage,False,r_has_causatif,True,
les retards de livraison des embouteillages,les retards de livraison,embouteillages,des,les retards de livraison,embouteillage,True,r_has_causatif,True,
la sagesse du vieillard,sagesse,vieillard,du,sagesse,vieillard,True,r_has_property-1,True,
la patience de la professeure,la patience,la professeure,de,la patience,la professeure,False,r_has_property-1,True,
la douceur de l'infirmière,la douceur,l'infirmière,de,la douceur,l'infirmière,False,r_has_property-1,True,
la rigueur de l'ingénieur,la rigueur,l'ingénieur,de,la rigueur,l'ingénieur,False,r_has_property-1,True,
la prudence du conducteur,prudence,conducteur,de,prudence,conducteur,False,r_has_property-1,True,
la force de l'athlète,la force,l'athlète,de,la force,l'athlète,False,r_has_property-1,True,
la créativité de l'artiste,la créativité,l'artiste,de,la créativité,l'artiste,False,r_has_property-1,True,
le courage du pompier,courage,pompier,du,courage,pompier,True,r_has_property-1,True,
la générosité de la bénévole,la générosité,la bénévole,de,la générosité,la bénévole,False,r_has_property-1,True,
la chaise de bois,chaise,bois,de,chaise,boi,False,r_objet>matiere,True,
la table de bois,table,bois,de,table,boi,False,r_objet>matiere,True,
la table de métal,table,métal,de,table,métal,False,r_objet>matiere,True,
le banc de pierre,banc,pierre,de,banc,pierre,False,r_objet>matiere,True,
la statue de marbre,statue,marbre,de,statue,marbre,False,r_objet>matiere,True,
le vase de verre,vase,verre,de,vase,verre,False,r_objet>matiere,True,
l'assiette d'argile,assiette,argile,d',assiette,argile,False,r_objet>matiere,True,
le cadre de bois,cadre,bois,de,cadre,boi,False,r_objet>matiere,True,
la bouteille de verre,bouteille,verre,de,bouteille,verre,False,r_objet>matiere,True,
le tabouret de bois,tabouret,bois,de,tabouret,boi,False,r_objet>matiere,True,
la poutre d'acier,poutre,acier,d',poutre,acier,False,r_objet>matiere,True,
le vin de france,vin,france,de,vin,france,False,r_lieu>origine,True,
le vin d'italie,vin,italie,d',vin,italie,False,r_lieu>origine,True,
le café de brésil,café,brésil,de,café,brésil,False,r_lieu>origine,True,
le thé de chine,thé,chine,de,thé,chine,False,r_lieu>origine,True,
le fromage de suisse,fromage,suisse,de,fromage,suisse,False,r_lieu>origine,True,
l'huile d'olive de grèce,l'huile d'olive,grèce,de,l'huile d'olive,grèce,False,r_lieu>origine,True,
la bière d'allemagne,bière,allemagne,d',bière,allemagne,False,r_lieu>origine,True,
le chocolat de belgique,chocolat,belgique,de,chocolat,belgique,False,r_lieu>origine,True,
