phrase_originale,nom1,nom2,determinant,nom1_lemme,nom2_lemme,definitude,type_jdm,est_valide,notes
maison d'Ouro Preto,maison,ouro preto,d',maison,ouro preto,False,r_holo,True,
maison de laTrente,maison,latrente,de,maison,latrente,False,r_holo,True,
maison de l'Hakodate,maison,l'hakodate,de,maison,l'hakodate,False,r_holo,True,
maison de larue,maison,larue,de,maison,larue,False,r_holo,True,
maison de l'Albertville,maison,l'albertville,de,maison,l'albertville,False,r_holo,True,
maison d'Esztergom,maison,esztergom,d',maison,esztergom,False,r_holo,True,
maison de l'Avesnes-sur-Helpe,maison,l'avesnes-sur-helpe,de,maison,l'avesnes-sur-helpe,False,r_holo,True,
maison de l'Iakoutsk,maison,l'iakoutsk,de,maison,l'iakoutsk,False,r_holo,True,
maison de l'Oran,maison,l'oran,de,maison,l'oran,False,r_holo,True,
maison d'Indianapolis,maison,indianapolis,d',maison,indianapoli,False,r_holo,True,
maison d'Hambourg,maison,hambourg,d',maison,hambourg,False,r_holo,True,
voiture de l'exposition,voiture,l'exposition,de,voiture,l'exposition,False,r_holo,True,
voiture de larallye,voiture,larallye,de,voiture,larallye,False,r_holo,True,
voiture de latrain à grande vitesse,voiture,latrain à grande vitesse,de,voiture,latrain à grande vitesse,False,r_holo,True,
voiture de latrain grande vitesse,voiture,latrain grande vitesse,de,voiture,latrain grande vitesse,False,r_holo,True,
voiture de lanoix de muscade,voiture de lanoix,muscade,de,voiture de lanoi,muscade,False,r_holo,True,
voiture de laTrain à Grande Vitesse,voiture,latrain à grande vitesse,de,voiture,latrain à grande vitesse,False,r_holo,True,
voiture deNoix de muscade,denoix,muscade,de,denoi,muscade,False,r_holo,True,
arbre d'incendie,arbre,incendie,d',arbre,incendie,False,r_holo,True,
arbre de laterre,arbre,laterre,de,arbre,laterre,False,r_holo,True,
arbre de laVie,arbre,lavie,de,arbre,lavie,False,r_holo,True,
arbre de lacampagne,arbre,lacampagne,de,arbre,lacampagne,False,r_holo,True,
arbre de lafrégate,arbre,lafrégate,de,arbre,lafrégate,False,r_holo,True,
arbre d'automobile,arbre,automobile,d',arbre,automobile,False,r_holo,True,
arbre de lapinède,arbre,lapinède,de,arbre,lapinède,False,r_holo,True,
arbre d'arachidier,arbre,arachidier,d',arbre,arachidier,False,r_holo,True,
arbre de lagarrigue,arbre,lagarrigue,de,arbre,lagarrigue,False,r_holo,True,
arbre de lanature,arbre,lanature,de,arbre,lanature,False,r_holo,True,
arbre duturbine à gaz de combustion,gaz,combustion,de,gaz,combustion,False,r_holo,True,
arbre de l'acer,arbre,l'acer,de,arbre,l'acer,False,r_holo,True,
arbre deforêt des Hauts de l'Ouest,arbre deforêt des hauts,l'ouest,de,arbre deforêt des haut,l'ouest,False,r_holo,True,
corps de l'oiseau-à-berceau,corps,l'oiseau-à-berceau,de,corp,l'oiseau-à-berceau,False,r_holo,True,
corps d'Alexander Roslin,corps,alexander roslin,d',corp,alexander roslin,False,r_holo,True,
corps de l'exaspérant,corps,l'exaspérant,de,corp,l'exaspérant,False,r_holo,True,
corps d'émeraude,corps,émeraude,d',corp,émeraude,False,r_holo,True,
corps d'écrivassier,corps,écrivassier,d',corp,écrivassier,False,r_holo,True,
corps de laSophie Rostopchine,corps,lasophie rostopchine,de,corp,lasophie rostopchine,False,r_holo,True,
corps de l'ure,corps,l'ure,de,corp,l'ure,False,r_holo,True,
corps de lachlamydère,corps,lachlamydère,de,corp,lachlamydère,False,r_holo,True,
corps de l'uniforme,corps,l'uniforme,de,corp,l'uniforme,False,r_holo,True,
corps d'admoniteur,corps,admoniteur,d',corp,admoniteur,False,r_holo,True,
corps de l'olive,corps,l'olive,de,corp,l'olive,False,r_holo,True,
corps de l'Histoire,corps,l'histoire,de,corp,l'histoire,False,r_holo,True,
corps d'essentialiser,corps,essentialiser,d',corp,essentialiser,False,r_holo,True,
corps d'abaisseur,corps,abaisseur,d',corp,abaisseur,False,r_holo,True,
livre de lalittérature,livre,lalittérature,de,livre,lalittérature,False,r_holo,True,
livre de laLa Pléïade,livre,lala pléïade,de,livre,lala pléïade,False,r_holo,True,
table de l'auberge,table,l'auberge,de,table,l'auberge,False,r_holo,True,
table de l'école,table,l'école,de,table,l'école,False,r_holo,True,
table de l'hôtel,table,l'hôtel,de,table,l'hôtel,False,r_holo,True,
table de lasuite,table,lasuite,de,table,lasuite,False,r_holo,True,
table de laclasse,table,laclasse,de,table,laclasse,False,r_holo,True,
table de l'oud,table,l'oud,de,table,l'oud,False,r_holo,True,
table de lafête,table,lafête,de,table,lafête,False,r_holo,True,
table debase de données relationnelle,debase,données relationnelle,de,debase,données relationnelle,False,r_holo,True,
ordinateur d'écrivain,ordinateur,écrivain,d',ordinateur,écrivain,False,r_holo,True,
ordinateur de l'entreprise,ordinateur,l'entreprise,de,ordinateur,l'entreprise,False,r_holo,True,
ordinateur d'Internet,ordinateur,internet,d',ordinateur,internet,False,r_holo,True,
ordinateur d'école,ordinateur,école,d',ordinateur,école,False,r_holo,True,
ordinateur d'internet,ordinateur,internet,d',ordinateur,internet,False,r_holo,True,
ordinateur de lareceptionniste,ordinateur,lareceptionniste,de,ordinateur,lareceptionniste,False,r_holo,True,
ville d'Amérique,ville,amérique,d',ville,amérique,False,r_holo,True,
ville de laplanète,ville,laplanète,de,ville,laplanète,False,r_holo,True,
ville de laterre,ville,laterre,de,ville,laterre,False,r_holo,True,
homme de lavoiture,homme,lavoiture,de,homme,lavoiture,False,r_lieu,True,
homme de lachorale,homme,lachorale,de,homme,lachorale,False,r_lieu,True,
homme de lapelouse,homme,lapelouse,de,homme,lapelouse,False,r_lieu,True,
homme d'océan,homme,océan,d',homme,océan,False,r_lieu,True,
homme de l'Irak,homme,l'irak,de,homme,l'irak,False,r_lieu,True,
homme de lasynagogue,homme,lasynagogue,de,homme,lasynagogue,False,r_lieu,True,
homme demaison de retraite,demaison,retraite,de,demaison,retraite,False,r_lieu,True,
homme de laplanète,homme,laplanète,de,homme,laplanète,False,r_lieu,True,
homme de lagendarmerie,homme,lagendarmerie,de,homme,lagendarmerie,False,r_lieu,True,
homme de laferme,homme,laferme,de,homme,laferme,False,r_lieu,True,
homme dumaison de santé,dumaison,santé,de,dumaison,santé,False,r_lieu,True,
homme de lalatomie,homme,lalatomie,de,homme,lalatomie,False,r_lieu,True,
homme de l'Asie,homme,l'asie,de,homme,l'asie,False,r_lieu,True,
homme dechamp de bataille,dechamp,bataille,de,dechamp,bataille,False,r_lieu,True,
homme de larêve,homme,larêve,de,homme,larêve,False,r_lieu,True,
homme de l'Athènes,homme,l'athènes,de,homme,l'athène,False,r_lieu,True,
homme dumaison de fous,dumaison,fous,de,dumaison,fou,False,r_lieu,True,
homme de laguerre,homme,laguerre,de,homme,laguerre,False,r_lieu,True,
femme de lavoiture,femme,lavoiture,de,femme,lavoiture,False,r_lieu,True,
